unit,unit_shorthand,unit_full_title,origin,cost,search_name
sandalphon-6,Sandalphon 6★,Bishop Sandalphon Sys,Sandalphon Invades!,53,Sandalphon 6
cao_cao-5,Cao Cao 5★,Cao Cao,Cao Cao Invades!,53,Cao Cao 5
cao_cao-6,Cao Cao 6★,Conqueror of Chaos Cao Cao,Cao Cao Invades!,53,Cao Cao 6
ying_zheng-5,Ying Zheng 5★,Ying Zheng,Ying Zheng Invades!,53,Ying Zheng 5
ying_zheng-6,Ying Zheng 6★,First Emperor Ying Zheng,Ying Zheng Invades!,53,Ying Zheng 6
xun_zi-5,Xun Zi 5★,Xun Zi,Xun Zi Invades!,53,Xun Zi 5
xun_zi-6,Xun Zi 6★,Etiquette Heretic Xun Zi,Xun Zi Invades!,53,Xun Zi 6
taotie-5,Taotie 5★,Taotie,Taotie Invades!,53,Taotie 5
taotie-6,Taotie 6★,Twisted Love Taotie,Taotie Invades!,53,Taotie 6
han_fei-5,Han Fei 5★,Han Fei,Han Fei Invades!,53,Han Fei 5
han_fei-6,Han Fei 6★,Law and Execution Han Fei,Han Fei Invades!,53,Han Fei 6
qiong_qi-5,Qiong Qi 5★,Qiong Qi,Qiong Qi Invades!,53,Qiong Qi 5
qiong_qi-6,Qiong Qi 6★,Virtue and Vice Qiong Qi,Qiong Qi Invades!,53,Qiong Qi 6
li_si-5,Li Si 5★,Li Si,Li Si Invades!,53,Li Si 5
li_si-6,Li Si 6★,Thorns of Punishment Li Si,Li Si Invades!,53,Li Si 6
hun_dun-5,Hun Dun 5★,Hun Dun,Codes of Chaos,53,Hun Dun 5
hun_dun-6,Hun Dun 6★,Hollow Malice Hun Dun,Codes of Chaos,53,Hun Dun 6
lu_ban-5,Lu Ban 5★,Lu Ban,War-Ending Blade,53,Lu Ban 5
lu_ban-6,Lu Ban 6★,Genius Engineer Lu Ban,War-Ending Blade,53,Lu Ban 6
ban_gu-5,Ban Gu 5★,Ban Gu,The Two Historians,53,Ban Gu 5
ban_gu-6,Ban Gu 6★,Genius Recordkeeper Ban Gu,The Two Historians,53,Ban Gu 6
ban_chao-5,Ban Chao 5★,Ban Chao,Wrath of the Warrior,53,Ban Chao 5
ban_chao-6,Ban Chao 6★,Protector General Ban Chao,Wrath of the Warrior,53,Ban Chao 6
huainanzi-5,Huainanzi 5★,Huainanzi,Breakout and Pursuit,53,Huainanzi 5
huainanzi-6,Huainanzi 6★,Grand Illumination Huainanzi,Breakout and Pursuit,53,Huainanzi 6
hui_shi-5,Hui Shi 5★,Hui Shi,A Human Conflict,53,Hui Shi 5
hui_shi-6,Hui Shi 6★,Identical Irregularity Hui Shi,A Human Conflict,53,Hui Shi 6
painted_skin-5,The Painted Skin 5★,The Painted Skin,The Painted Skin Ghost,53,The Painted Skin 5
painted_skin-6,The Painted Skin 6★,The Phantasmagoric Painted Skin,The Painted Skin Ghost,53,The Painted Skin 6
yog-sothoth-5,Yog-Sothoth 5★,Outer God Yog-Sothoth,The Chaos Begins!,53,Yog-Sothoth 5
yog-sothoth-6,Yog-Sothoth 6★,Eldritch Cosmic God Yog-Sothoth,The Chaos Begins!,53,Yog-Sothoth 6
rasputin-5,Rasputin 5★,Rasputin,Rasputin Invades!,53,Rasputin 5
rasputin-6,Rasputin 6★,Prophet of Mysticism Rasputin,Rasputin Invades!,53,Rasputin 6
shub-niggurath-5,Shub-Niggurath 5★,Outer One Shub-Niggurath,The Walpurgis Sacrifice,53,Shub-Niggurath 5
shub-niggurath-6,Shub-Niggurath 6★,Black Goat Shub-Niggurath,The Walpurgis Sacrifice,53,Shub-Niggurath 6
cthugha-5,Cthugha 5★,Cthugha,Dark Supernova,53,Cthugha 5
cthugha-6,Cthugha 6★,Living Flame Cthugha,Dark Supernova,53,Cthugha 6
mi-go-5,Mi-Go 5★,Mi-Go,Starfire Upon The Ice,53,Mi-Go 5
mi-go-6,Mi-Go 6★,Chaotic Soldier of Evil Mi-Go,Starfire Upon The Ice,53,Mi-Go 6
tsathoggua-5,Tsathoggua 5★,Tsathoggua,Awakening Trial,53,Tsathoggua 5
tsathoggua-6,Tsathoggua 6★,All-Powerful Tsathoggua,Awakening Trial,53,Tsathoggua 6
taurus-5,Taurus 5★,Stylish Mantle Taurus,Deceptio Nox,53,Taurus 5
taurus-6,Taurus 6★,Unbroken Ruler Taurus,Deceptio Nox,53,Taurus 6
pisces-5,Pisces 5★,Intoxicating Visuals Pisces,Terranova,53,Pisces 5
pisces-6,Pisces 6★,Art-Aholic Pisces,Terranova,53,Pisces 6
aries-5,Aries 5★,It Ain't Funk Aries,The Triangle,53,Aries 5
aries-6,Aries 6★,Verses from the Ground Aries,The Triangle,53,Aries 6
aquarius-5,Aquarius 5★,Devious Nature Aquarius,Wanted: Dead or Online,53,Aquarius 5
aquarius-6,Aquarius 6★,Moral Nihilism Aquarius,Wanted: Dead or Online,53,Aquarius 6
capricorn-5,Capricorn 5★,Augmented Joy Capricorn,Ronin,53,Capricorn 5
capricorn-6,Capricorn 6★,Joyful Subroutine Capricorn,Ronin,53,Capricorn 6
lee_bangwon-5,Lee Bangwon 5★,Lee Bangwon,Lee Bangwon Invades!,53,Lee Bangwon 5
lee_bangwon-6,Lee Bangwon 6★,Chaoseater Dragon Lee Bangwon,Lee Bangwon Invades!,53,Lee Bangwon 6
eoudong-5,Eoudong 5★,Eoudong,Eoudong Invades!,53,Eoudong 5
eoudong-6,Eoudong 6★,Deadly Seductress Eoudong,Eoudong Invades!,53,Eoudong 6
lee_sunggye-5,Lee Sunggye 5★,Lee Sunggye,Lee Sunggye Invades!,53,Lee Sunggye 5
lee_sunggye-6,Lee Sunggye 6★,Emperor Dragon Lee Sunggye,Lee Sunggye Invades!,53,Lee Sunggye 6
yeonsangun-5,Yeonsangun 5★,Yeonsangun,Yeonsangun Invades!,53,Yeonsangun 5
yeonsangun-6,Yeonsangun 6★,Bloody Mad Dragon Yeonsangun,Yeonsangun Invades!,53,Yeonsangun 6
jang_hui-bin-5,Jang Hui-bin 5★,Jang Hui-bin,Bewitching Erosion,53,Jang Hui-bin 5
jang_hui-bin-6,Jang Hui-bin 6★,Corrosive Flower Jang Hui-bin,Bewitching Erosion,53,Jang Hui-bin 6
buyeo_gu-5,Buyeo Gu 5★,Buyeo Gu,Supremacy is Mine!,53,Buyeo Gu 5
buyeo_gu-6,Buyeo Gu 6★,Hot Blooded Subjugator Buyeo Gu,Supremacy is Mine!,53,Buyeo Gu 6
sobyeol-wang-5,Sobyeol-Wang 5★,Sobyeol-Wang,Two Moons on a Long Night,53,Sobyeol-Wang 5
sobyeol-wang-6,Sobyeol-Wang 6★,Moon Destroyer Sobyeol-Wang,Two Moons on a Long Night,53,Sobyeol-Wang 6
pyohun_daedeok-5,Pyohun Daedeok 5★,Pyohun Daedeok,Pyohun Daedeok Arc,53,Pyohun Daedeok 5
pyohun_daedeok-6,Pyohun Daedeok 6★,Cursed Genius Pyohun Daedeok,Pyohun Daedeok Arc,53,Pyohun Daedeok 6
ao-5,Ao 5★,Ao,Underground Uproar,53,Ao 5
ao-6,Ao 6★,Earth Shaker Ao,Underground Uproar,53,Ao 6
du_fu-5,Du Fu 5★,Du Fu,Du Fu Invades!,53,Du Fu 5
du_fu-6,Du Fu 6★,Saint of Poems Du Fu,Du Fu Invades!,53,Du Fu 6
li_he-5,Li He 5★,Li He,Li He Invades!,53,Li He 5
li_he-6,Li He 6★,Ghost of Poetry Li He,Li He Invades!,53,Li He 6
li_qingzhao-5,Li Qingzhao 5★,Li Qingzhao,Li Qingzhao Invades!,53,Li Qingzhao 5
li_qingzhao-6,Li Qingzhao 6★,Graceful Restrained Li Qingzhao,Li Qingzhao Invades!,53,Li Qingzhao 6
ouyang_xiu-5,Ouyang Xiu 5★,Ouyang Xiu,Scattering Flowers,53,Ouyang Xiu 5
ouyang_xiu-6,Ouyang Xiu 6★,Total Unification Ouyang Xiu,Scattering Flowers,53,Ouyang Xiu 6
past_belial-5,Past Belial 5★,Adjudicator Belial,Time Travel in ALICE -The First-,53,Past Belial 5
past_belial-6,Past Belial 6★,Wicked Judge Belial,Time Travel in ALICE -The First-,53,Past Belial 6
nurupon_white,Nurupon White,Nurupon White,Occupying Babylonia Tower,53,Nurupon White
nurupon_red,Nurupon Red,Emotional Ranger Nurupon Red,Occupying Babylonia Tower,53,Nurupon Red
nurupon_green,Nurupon Green,Wise Ranger Nurupon Green,Occupying Babylonia Tower,53,Nurupon Green
nurupon_blue,Nurupon Blue,Noble Ranger Nurupon Blue,Occupying Babylonia Tower,53,Nurupon Blue
nurupon_yellow,Nurupon Yellow,Flirty Ranger Nurupon Yellow,Occupying Babylonia Tower,53,Nurupon Yellow
yao_bikuni-5,Yao Bikuni 5★,Yao Bikuni,The Silky-Skinned Lady,53,Yao Bikuni 5
yao_bikuni-6,Yao Bikuni 6★,One-sided Affection Yao Bikuni,The Silky-Skinned Lady,53,Yao Bikuni 6
tezcatlipoca-5,Tezcatlipoca 5★,Tezcatlipoca,Tezcatlipoca Invades!,53,Tezcatlipoca 5
tezcatlipoca-6,Tezcatlipoca 6★,Heavenly Void God Tezcatlipoca,Tezcatlipoca Invades!,53,Tezcatlipoca 6
french_rev_army-5,French Revolutionary Army 5★,French Revolutionary Army,Request to Disband,53,French Revolutionary Army 5
french_rev_army-6,French Revolutionary Army 6★,French Revolutionary Army Front,Request to Disband,53,French Revolutionary Army 6
malphas-5,Malphas 5★,Malphas,Wings of Mystery,53,Malphas 5
malphas-6,Malphas 6★,Demon Flight Beakwing Malphas,Wings of Mystery,53,Malphas 6
cb_atsuhime-5,Crash Breaker Atsuhime 5★,雅甲姫 篤姫,This is My Coloring Technique,53,Crash Breaker Atsuhime 5
cb_atsuhime-6,Crash Breaker Atsuhime 6★,纏装の雅甲姫 篤姫,This is My Coloring Technique,53,Crash Breaker Atsuhime 6
griffon_turtle-5,Griffon & Turtle 5★,予選ターゲットB＆C,Preliminary Targets B & C,53,Griffon & Turtle 5
griffon_turtle-6,Griffon & Turtle 6★,異覚征 グリフォン＆代用ウミガメ,Preliminary Targets B & C,53,Griffon & Turtle 6
ogai_mori-5,Ogai Mori 5★,森鴎外,In Regards to Life,53,Ogai Mori 5
ogai_mori-6,Ogai Mori 6★,死考する罪舟 森鴎外,In Regards to Life,53,Ogai Mori 6
megatherium-5,Megatherium 5★,古の巨漫 メガテリウム,Destructive Giant Body,53,Megatherium 5
megatherium-6,Megatherium 6★,崩絶的巨漫 メガテリウム,Destructive Giant Body,53,Megatherium 6
z_hikoboshi_orihime-5,Zombie Hikoboshi & Orihime 5★,Love Zombies Hikoboshi & Orihime,Miracle Zombie Way,53,Zombie Hikoboshi & Orihime 5
z_hikoboshi_orihime-6,Zombie Hikoboshi & Orihime 6★,Bewitching Undead Milky Zombies,Miracle Zombie Way,53,Zombie Hikoboshi & Orihime 6
zombie_cockcroft-5,Zombie Cockcroft 5★,Advancing Wing Scholar Cockcroft,Unstoppable Wings of Doom,53,Zombie Cockcroft 5
zombie_cockcroft-6,Zombie Cockcroft 6★,Suppressing Wing Mage Cockcroft,Unstoppable Wings of Doom,53,Zombie Cockcroft 6
isekai_izanami-5,Isekai Izanmai 5★,神森治める母精 イザナミ,The Holy Mother Goddess,53,Isekai Izanmai 5
isekai_izanami-6,Isekai Izanami 6★,征魔の霊嵐流 イザナミ,The Holy Mother Goddess,53,Isekai Izanami 6
pythagoras-5,Pythagoras 5★,ピタゴラス,Apostle of Numbers,53,Pythagoras 5
pythagoras-6,Pythagoras 6★,賢像の数拝者 ピタゴラス,Apostle of Numbers,53,Pythagoras 6
xmas_erwin-5,Christmas Erwin 5★,Ice Cold Affection Erwin,What I Waited the Most,53,Christmas Erwin 5
xmas_erwin-6,Christmas Erwin 6★,Bowl of Frozen Affection Erwin,What I Waited the Most,53,Christmas Erwin 6
xmas_galileo-5,Christmas Galileo 5★,Galileo,What I Care the Most,53,Christmas Galileo 5
xmas_galileo-6,Christmas Galileo 6★,Heart of Ice Galileo,What I Care the Most,53,Christmas Galileo 6
four_guardians_cmr-tn-5,Four Guardians CMR-TN 5★,四神CMR-TN,Taboo Divinity,53,Four Guardians CMR-TN 5
four_guardians_cmr-tn-6,Four Guardians CMR-TN 6★,不聖異形獣 四神CMR-TN,Taboo Divinity,53,Four Guardians CMR-TN 6
ny_beelzebub-5,New Years Beelzebub 5★,Ghostly Ringmaster Beelzebub,White Team Performance,53,New Years Beelzebub 5
ny_beelzebub-6,New Years Beelzebub 6★,Velvet Voice of Man Beelzebub,White Team Performance,53,New Years Beelzebub 6
pito-5,Pito 5★,【名称未設定】,No Name Given Invades!,53,Pito 5
pito-6,Pito 6★,集答の絵字体 ピト,No Name Given Invades!,53,Pito 6
valentines_sphinx-5,Valentines Sphinx 5★,虜心の橙幻歌 スフィンクス,A Smile That Captivates Everyone,53,Valentines Sphinx 5
valentines_sphinx-6,Valentines Sphinx 6★,央起の彩場演 スフィンクス,A Smile That Captivates Everyone,53,Valentines Sphinx 6
valentines_sphinx-ua,Valentines Sphinx UA,親愛の彩場演 スフィンクス,A Smile That Captivates Everyone,53,Valentines Sphinx UA
valentines_amontons-5,Valentines Amontons 5★,届恋の瞳潤歌 アモントン,"Bring Out Your Courage in... 1, 2, 3!",53,Valentines Amontons 5
valentines_amontons-6,Valentines Amontons 6★,摯恋の甘声演 アモントン,"Bring Out Your Courage in... 1, 2, 3!",53,Valentines Amontons 6
valentines_amontons-ua,Valentines Amontons UA,親愛の甘声演 アモントン,"Bring Out Your Courage in... 1, 2, 3!",53,Valentines Amontons UA
onsen_fiend_w_20_faces-5,Onsen Fiend with 20 Faces 5★,騙名の異面 怪人二十面相,Detective Ranpo's Case File -1st Act-,53,Onsen Fiend with 20 Faces 5
onsen_fiend_w_20_faces-6,Onsen Fiend with 20 Faces 6★,疑枠の淑泊者 怪人二十面相,Detective Ranpo's Case File -1st Act-,53,Onsen Fiend with 20 Faces 6
rap_happy_yoshino-5,Blossom Rap Happy & Yoshino 5★,ハッピー＆ヨシノ,Joy of Spring ★ Blessings with You,53,Blossom Rap Happy & Yoshino 5
rap_happy_yoshino-6,Blossom Rap Happy & Yoshino 6★,迎暖の歓染組 ハッピー＆ヨシノ,Joy of Spring ★ Blessings with You,53,Blossom Rap Happy & Yoshino 6
zhong_kui-5,Zhong Kui 5★,Zhong Kui,Zhong Kui Invades!,53,Zhong Kui 5
zhong_kui-6,Zhong Kui 6★,Demon Hunter Zhong Kui,Zhong Kui Invades!,53,Zhong Kui 6
hou_yi-5,Hou Yi 5★,Hou Yi,Moon Palace Code 0815,53,Hou Yi 5
hou_yi-6,Hou Yi 6★,Sunlight Firebird Hou Yi,Moon Palace Code 0815,53,Hou Yi 6
chu_huai_wang-5,Chu Huai Wang 5★,Chu Huai Wang,Chu Huai Wang Invades!,53,Chu Huai Wang 5
chu_huai_wang-6,Chu Huai Wang 6★,Tragic Lord Chu Huai Wang,Chu Huai Wang Invades!,53,Chu Huai Wang 6
wu_gang-5,Wu Gang 5★,Wu Gang,Guanghan Palace's Endless Night,53,Wu Gang 5
wu_gang-6,Wu Gang 6★,Limitless Strength Wu Gang,Guanghan Palace's Endless Night,53,Wu Gang 6
yuan_shao-5,Yuan Shao 5★,Yuan Shao,One Night Mirage,53,Yuan Shao 5
yuan_shao-6,Yuan Shao 6★,Financial Conqueror Yuan Shao,One Night Mirage,53,Yuan Shao 6
xiaoxiu-5,Xiaoxiu 5★,飄香臭豆腐,Happy Stomach Night Market,53,Xiaoxiu 5
xiaoxiu-6,Xiaoxiu 6★,夜市濃郁飄香 小秀,Happy Stomach Night Market,53,Xiaoxiu 6
mecha_nian_beast-5,Mecha Nian Beast 5★,Mecha Nian Beast,New Year Weapons Battle Jam!,53,Mecha Nian Beast 5
mecha_nian_beast-6,Mecha Nian Beast 6★,NY Weapon Mecha Nian Beast,New Year Weapons Battle Jam!,53,Mecha Nian Beast 6
krampus-5,Krampus 5★,Krampus,Krampus Unwrapped!,53,Krampus 5
krampus-6,Krampus 6★,Insatiable Demon Krampus,Krampus Unwrapped!,53,Krampus 6
cheer_kafka-5,Cheerleader Kafka 5★,Military Beam Kafka,Overcome Your Limits!,53,Cheerleader Kafka 5
cheer_kafka-6,Cheerleader Kafka 6★,Vanquish Warbaby Kafka,Overcome Your Limits!,53,Cheerleader Kafka 6
travel_columbus-5,Travel Columbus 5★,Soul of a Vagabond Columbus,Lust of Conquest Wings,53,Travel Columbus 5
travel_columbus-6,Travel Columbus 6★,Any Means Necessary Columbus,Lust of Conquest Wings,53,Travel Columbus 6
hw_tom_sawyer-5,Halloween Tom Sawyer 5★,Deadly Pumpkin Carver Tom Sawyer,GL Halloween Sweets Exchange,53,Halloween Tom Sawyer 5
hw_tom_sawyer-6,Halloween Tom Sawyer 6★,The Color of Tricks Tom Sawyer,GL Halloween Sweets Exchange,53,Halloween Tom Sawyer 6
halloween_silvia-5,Halloween Silvia 5★,Magical Witch Key Silvia,GL Halloween Sweets Exchange,53,Halloween Silvia 5
halloween_silvia-6,Halloween Silvia 6★,Midnight Witch Key Silvia,GL Halloween Sweets Exchange,53,Halloween Silvia 6
miku_lucifer-5,Miku Cosplay Lucifer 5★,Song Lord Lucifer,Electric Diva's Fallen Angel,53,Miku Cosplay Lucifer 5
miku_lucifer-6,Miku Cosplay Lucifer 6★,Song Angel Lucifer,Electric Diva's Fallen Angel,53,Miku Cosplay Lucifer 6
crazed_cat-5,Crazed Cat 5★,Crazed Cat,Crazed Cat Descends!,53,Crazed Cat 5
crazed_cat-6,Crazed Cat 6★,Crazed Macho Cat,Crazed Cat Descends!,53,Crazed Cat 6
tos_lucifer-5,Tower of Saviors Lucifer 5★,Michael-Lucifer,Enoch Tower Descends!,53,Tower of Saviors Lucifer 5
tos_lucifer-6,Tower of Saviors Lucifer 6★,Wings of Chaos-Lucifer,Enoch Tower Descends!,53,Tower of Saviors Lucifer 6
iori_yagami-5,Iori Yagami 5★,Iori Yagami,Saxophone Under the Moon!,53,Iori Yagami 5
iori_yagami-6,Iori Yagami 6★,Unbridled Instinct Iori,Saxophone Under the Moon!,53,Iori Yagami 6
celebration_miku-5,Celebration Hatsune Miku 5★,Historic Prayer Hatsune Miku,Surprise Party!,53,Celebration Hatsune Miku 5
celebration_miku-6,Celebration Hatsune Miku 6★,Time-Transcending Hatsune Miku',Surprise Party!,53,Celebration Hatsune Miku 6
bonanza_luka-5,Bonanza Cosplay Megurine Luka 5★,Fighting Queen Megurine Luka,Fight on the Stage,53,Bonanza Cosplay Megurine Luka 5
bonanza_luka-6,Bonanza Cosplay Megurine Luka 6★,Echoing Queen Megurine Luka,Fight on the Stage,53,Bonanza Cosplay Megurine Luka 6
staphylococcus_aureus-5,Staphylococcus Aureus 5★,黄色ブドウ球菌,Chaotic Grape-Picking,53,Staphylococcus Aureus 5
staphylococcus_aureus-6,Staphylococcus Aureus 6★,グラム陽性球菌 黄色ブドウ球菌,Chaotic Grape-Picking,53,Staphylococcus Aureus 6
kitamura_motoyasu-5,Kitamura Motoyasu 5★,Kitamura Motoyasu,Fixing the Paradox,53,Kitamura Motoyasu 5
kitamura_motoyasu-6,Kitamura Motoyasu 6★,Spear Hero Kitamura Motoyasu,Fixing the Paradox,53,Kitamura Motoyasu 6
candy_witch-5,Candy Witch 5★,Candy Witch,Be Careful of Sweet Traps!,53,Candy Witch 5
candy_witch-6,Candy Witch 6★,Adhering Desire Candy Witch,Be Careful of Sweet Traps!,53,Candy Witch 6
kamijou_touma-5,Kamijou Touma 5★,Kamijou Touma,Impostor Imagine Breaker,53,Kamijou Touma 5
kamijou_touma-6,Kamijou Touma 6★,Determined Kamijou Touma,Impostor Imagine Breaker,53,Kamijou Touma 6
misaka_10046-5,Misaka 10046 5★,Misaka 10046,Radio Noise on the Road,53,Misaka 10046 5
misaka_10046-6,Misaka 10046 6★,Faulty Electricity Misaka 10046,Radio Noise on the Road,53,Misaka 10046 6
origami_tobiichi-5,Origami Tobiichi 5★,Origami Tobiichi,Another Her,53,Origami Tobiichi 5
origami_tobiichi-6,Origami Tobiichi 6★,Avenging Spirit Origami Tobiichi,Another Her,53,Origami Tobiichi 6
origami_tobiichi-ua,Origami Tobiichi UA,Origami Tobiichi,Another Her,53,Origami Tobiichi UA
techno_pop_luka-5,Techno Pop Megurine Luka 5★,Pure Peach Blossom Megurine Luka,Chance Upon a Keyboard Sound,53,Techno Pop Megurine Luka 5
techno_pop_luka-6,Techno Pop Megurine Luka 6★,Bloomy Vallation Megurine Luka,Chance Upon a Keyboard Sound,53,Techno Pop Megurine Luka 6
classical_kaito-5,Classical Kaito 5★,Blue Lord KAITO,Virtual Classic,53,Classical Kaito 5
classical_kaito-6,Classical Kaito 6★,Turquoise Violin KAITO,Virtual Classic,53,Classical Kaito 6
troy-5,Troy 5★,Troy,Ghost Point Exchange,53,Troy 5
troy-6,Troy 6★,"Troy, Heaven's Warmongress",Ghost Point Exchange,53,Troy 6
magallanica-5,Magallanica 5★,Magallanica,Ghost Point Exchange,53,Magallanica 5
magallanica-6,Magallanic 6★,Onyx Magallanica,Ghost Point Exchange,53,Magallanic 6
nessebar-5,Nessebar 5★,Nessebar,Ghost Point Exchange,53,Nessebar 5
nessebar-6,Nessebar 6★,Azure Thracian Nessebar,Ghost Point Exchange,53,Nessebar 6
lemuria-5,Lemuria 5★,Lemuria,Ghost Point Exchange,53,Lemuria 5
lemuria-6,Lemuria 6★,Ring-tailed Lassie Lemuria,Ghost Point Exchange,53,Lemuria 6
star_piece,Star Piece,Star Piece,Christmas 2017 Quests,99,Star Piece
xmas_date_arsene_lupin,Christmas Date Arsene Lupin,Dark Winter Theif Lupin,Christmas 2017 Quests,53,Christmas Date Arsene Lupin
xmas_date_qilin,Christmas Date Qilin,Dazzling Night Beast Qilin,Christmas 2017 Quests,53,Christmas Date Qilin
xmas_date_odin,Christmas Date Odin,Winter Mech Gentleman Odin,Christmas 2017 Quests,53,Christmas Date Odin
xmas_date_nobunaga_oda,Christmas Date Nobunaga Oda,Hard Road of Love Nobunaga Oda,Christmas 2017 Quests,53,Christmas Date Nobunaga Oda
private_clothes_emilia-5,Private Clothes Emilia 5★,Emilia,White Whale Battle,53,Private Clothes Emilia 5
private_clothes_emilia-6,Private Clothes Emilia 6★,Promised Night Emilia,White Whale Battle,53,Private Clothes Emilia 6
iwatani_naofumi-5,Iwatani Naofumi 5★,Iwatani Naofumi (Everyday Wear),Shield Hero Collab Login,53,Iwatani Naofumi 5
iwatani_naofumi_blue,Blue Iwatani Naofumi,Shield Hero Iwatani Naofumi,Shield Hero Collab Login,53,Blue Iwatani Naofumi
iwatani_naofumi_green,Green Iwatani Naofumi,Leaf Shield Hero Naofumi,Shield Hero Collab Login,53,Green Iwatani Naofumi
iwatani_naofumi_red,Red Iwatani Naofumi,Raging Shield Hero Naofumi,Shield Hero Collab Login,53,Red Iwatani Naofumi
iwatani_naofumi_yellow,Yellow Iwatani Naofumi,Viper Shield Hero Naofumi,Shield Hero Collab Login,35,Yellow Iwatani Naofumi
jiaolong-5,Jiaolong 5★,Stormcaller Jiaolong,Jiaolong Invades!,48,Jiaolong 5
jiaolong-6,Jiaolong 6★,"Lord of 1,000 Rivers Jiaolong",Jiaolong Invades!,48,Jiaolong 6
jiaolong-ua,Jiaolong UA,Leviathan Princess Jiaolong,Jiaolong Invades!,48,Jiaolong UA
jiaolong-uua,Jiaolong UUA,Deep Sea Experiment Jiaolong,Jiaolong Invades!,53,Jiaolong UUA
fahai-5,Fahai 5★,Fahai,Fahai Invades!,48,Fahai 5
fahai-6,Fahai 6★,Shocking Justice Fahai,Fahai Invades!,48,Fahai 6
fahai-ua,Fahai UA,Thundering Divinity Fahai,Fahai Invades!,53,Fahai UA
palais-5,Palais 5★,Floweret Palais,Normal Quests,53,Palais 5
palais-6,Palais 6★,伝号の旧護大隊 パレ,Normal Quests,53,Palais 6
fude_zhengshen_2019-5,Fude Zhengshen 2019 5★,TUDI-190526 福德正神,TW 3rd Anniversary Exchange,53,Fude Zhengshen 2019 5
fude_zhengshen_2019-6,Fude Zhengshen 2019 6★,后土杞護使 福德正神,TW 3rd Anniversary Exchange,53,Fude Zhengshen 2019 6
amaterasu-4,Amaterasu 4★,Amaterasu,Amaterasu Invades!,48,Amaterasu 4
amaterasu-5,Amaterasu 5★,Ruler of the Skies Amaterasu,Amaterasu Invades!,48,Amaterasu 5
amaterasu-6,Amaterasu 6★,"Amaterasu, Reigning Goddess",Amaterasu Invades!,48,Amaterasu 6
amaterasu-ua,Amaterasu UA,Ruler of the Heavens Amaterasu,Amaterasu Invades!,48,Amaterasu UA
azazel-4,Azazel 4★,Azazel,Azazel Invades!,48,Azazel 4
azazel-5,Azazel 5★,Maniacal Azazel,Azazel Invades!,48,Azazel 5
azazel-6,Azazel 6★,Azazel the Evil Destroyer,Azazel Invades!,48,Azazel 6
azazel-ua,Azazel UA,Annihilator Azazel,Azazel Invades!,48,Azazel UA
jeanne-4,Jeanne 4★,Jeanne,Jeanne Invades!,48,Jeanne 4
jeanne-5,Jeanne 5★,Iron-Steed Heroine Jeanne,Jeanne Invades!,48,Jeanne 5
jeanne-6,Jeanne 6★,Battlefield Empress Jeanne,Jeanne Invades!,48,Jeanne 6
jeanne-ua,Jeanne UA,Galloping Leader Jeanne,Jeanne Invades!,48,Jeanne UA
musashi_miyamoto-4,Musashi Miyamoto 4★,Musashi Miyamoto,Musashi Miyamoto Invades!,48,Musashi Miyamoto 4
musashi_miyamoto-5,Musashi Miyamoto 5★,Sword Whisperer Musashi,Musashi Miyamoto Invades!,48,Musashi Miyamoto 5
musashi_miyamoto-6,Musashi Miyamoto 6★,Ultimate Dueler Musashi Miyamoto,Musashi Miyamoto Invades!,48,Musashi Miyamoto 6
musashi_miyamoto-ua,Musashi Miyamoto UA,Adept Sword Musashi Miyamoto,Musashi Miyamoto Invades!,48,Musashi Miyamoto UA
oz-4,Oz 4★,Oz,Oz Invades!,48,Oz 4
oz-5,Oz 5★,Grand Illusionist Oz,Oz Invades!,48,Oz 5
oz-6,Oz 6★,"Oz, the Great Void",Oz Invades!,48,Oz 6
oz-ua,Oz UA,Master of Illusion Oz,Oz Invades!,48,Oz UA
arthur-4,Arthur 4★,Arthur,Arthur Invades!,48,Arthur 4
arthur-5,Arthur 5★,Tyrant Knight Arthur,Arthur Invades!,48,Arthur 5
arthur-6,Arthur 6★,Vile Bishop Arthur,Arthur Invades!,48,Arthur 6
arthur-ua,Arthur UA,Sovereign Rook Arthur,Arthur Invades!,48,Arthur UA
grimm-4,Grimm 4★,Grimm,Grimm Invades!,48,Grimm 4
grimm-5,Grimm 5★,Shadow of Reaped Souls Grimm,Grimm Invades!,48,Grimm 5
grimm-6,Grimm 6★,"Grimm, Collector of Souls",Grimm Invades!,48,Grimm 6
grimm-ua,Grimm UA,Collection War Grimm,Grimm Invades!,48,Grimm UA
g-star_children-4,G-Star Children 4★,G-Star Children,G-Star Children Invade!,48,G-Star Children 4
g-star_children-5,G-Star Children 5★,Pure Malice G-Star Children,G-Star Children Invade!,48,G-Star Children 5
g-star_children-6,G-Star Children 6★,"G-Star Children, the Evil Union",G-Star Children Invade!,48,G-Star Children 6
g-star_children-ua,G-Star Children UA,Universal Malice G-Star Children,G-Star Children Invade!,48,G-Star Children UA
hugin_munin-4,Hugin & Munin 4★,Hugin & Munin,Hugin & Munin Invade!,48,Hugin & Munin 4
hugin_munin-5,Hugin & Munin 5★,Raven Duo Hugin & Munin,Hugin & Munin Invade!,48,Hugin & Munin 5
hugin_munin-6,Hugin & Munin 6★,"Hugin & Munin, Ultimate Wings",Hugin & Munin Invade!,48,Hugin & Munin 6
freyr-4,Freyr 4★,Freyr,Freyr Invades!,48,Freyr 4
